service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BPPD4-BP_D4-Sunday-04,0,0,0,0,0,0,1,20240901,20250101
BPPD4-BP_D4-Weekday-04-SDon,1,1,1,1,1,0,0,20240903,20250103
BPPD4-BP_D4-Saturday-04,0,0,0,0,0,1,0,20240907,20250104
BPPD4-BP_S4-Weekday-45,1,1,1,1,1,0,0,20241129,20241129
CPPD4-CP_D4-Sunday-04,0,0,0,0,0,0,1,20240901,20250101
CPPD4-CP_D4-Weekday-04-SDon,1,1,1,1,1,0,0,20240903,20250103
CPPD4-CP_D4-Saturday-04,0,0,0,0,0,1,0,20240907,20250104
CPPD4-CP_S4-Weekday-45,1,1,1,1,1,0,0,20241129,20241129
ECPD4-EC_D4-Sunday-04,0,0,0,0,0,0,1,20240901,20250101
ECPD4-EC_D4-Weekday-04-SDon,1,1,1,1,1,0,0,20240903,20250103
ECPD4-EC_D4-Saturday-04,0,0,0,0,0,1,0,20240907,20250104
ECPD4-EC_S4-Weekday-45,1,1,1,1,1,0,0,20241129,20241129
FRPD4-FR_D4-Sunday-04,0,0,0,0,0,0,1,20240901,20250101
FRPD4-FR_D4-Weekday-04-SDon,1,1,1,1,1,0,0,20240903,20250103
FRPD4-FR_D4-Saturday-04,0,0,0,0,0,1,0,20240907,20250104
FRPD4-FR_S4-Weekday-45,1,1,1,1,1,0,0,20241129,20241129
JKPD4-JK_D4-Sunday-04,0,0,0,0,0,0,1,20240901,20250101
JKPD4-JK_D4-Weekday-04-SDon,1,1,1,1,1,0,0,20240903,20250103
JKPD4-JK_D4-Saturday-04,0,0,0,0,0,1,0,20240907,20250104
JKPD4-JK_S4-Weekday-45,1,1,1,1,1,0,0,20241129,20241129
LGPD4-LG_D4-Sunday-04,0,0,0,0,0,0,1,20240901,20250101
LGPD4-LG_D4-Weekday-04,1,1,1,1,1,0,0,20240903,20250103
LGPD4-LG_D4-Saturday-04,0,0,0,0,0,1,0,20240907,20250104
LGPD4-LG_S4-Weekday-45,1,1,1,1,1,0,0,20241129,20241129
SCPD4-SC_D4-Sunday-04,0,0,0,0,0,0,1,20240901,20250101
SCPD4-SC_D4-Weekday-04-SDon,1,1,1,1,1,0,0,20240903,20250103
SCPD4-SC_D4-Saturday-04,0,0,0,0,0,1,0,20240907,20250104
SCPD4-SC_S4-Weekday-45,1,1,1,1,1,0,0,20241129,20241129
YOPD4-YO_D4-Sunday-04,0,0,0,0,0,0,1,20240901,20250101
YOPD4-YO_D4-Weekday-04,1,1,1,1,1,0,0,20240903,20250103
YOPD4-YO_D4-Saturday-04,0,0,0,0,0,1,0,20240907,20250104
YOPD4-YO_S4-Weekday-45,1,1,1,1,1,0,0,20241129,20241129
