service_id,date,exception_type
BPPD4-BP_D4-Sunday-04,20240902,1
BPPD4-BP_D4-Sunday-04,20241128,1
BPPD4-BP_D4-Sunday-04,20241225,1
BPPD4-BP_D4-Sunday-04,20250101,1
BPPD4-BP_D4-Weekday-04-SDon,20241128,2
BPPD4-BP_D4-Weekday-04-SDon,20241129,2
BPPD4-BP_D4-Weekday-04-SDon,20241225,2
BPPD4-BP_D4-Weekday-04-SDon,20250101,2
BPPD4-BP_D4-Weekday-04-SDon,20240903,2
BPPD4-BP_D4-Weekday-04-SDon,20240904,2
BPPD4-BP_D4-Weekday-04-SDon,20241003,2
BPPD4-BP_D4-Weekday-04-SDon,20241004,2
BPPD4-BP_D4-Weekday-04-SDon,20241014,2
BPPD4-BP_D4-Weekday-04-SDon,20241101,2
BPPD4-BP_D4-Weekday-04-SDon,20241105,2
BPPD4-BP_D4-Weekday-04-SDon,20241111,2
BPPD4-BP_D4-Weekday-04-SDon,20241223,2
BPPD4-BP_D4-Weekday-04-SDon,20241224,2
BPPD4-BP_D4-Weekday-04-SDon,20241226,2
BPPD4-BP_D4-Weekday-04-SDon,20241227,2
BPPD4-BP_D4-Weekday-04-SDon,20241230,2
BPPD4-BP_D4-Weekday-04-SDon,20241231,2
BPPD4-BP_D4-Weekday-04,20240903,1
BPPD4-BP_D4-Weekday-04,20240904,1
BPPD4-BP_D4-Weekday-04,20241003,1
BPPD4-BP_D4-Weekday-04,20241004,1
BPPD4-BP_D4-Weekday-04,20241014,1
BPPD4-BP_D4-Weekday-04,20241101,1
BPPD4-BP_D4-Weekday-04,20241105,1
BPPD4-BP_D4-Weekday-04,20241111,1
BPPD4-BP_D4-Weekday-04,20241223,1
BPPD4-BP_D4-Weekday-04,20241224,1
BPPD4-BP_D4-Weekday-04,20241226,1
BPPD4-BP_D4-Weekday-04,20241227,1
BPPD4-BP_D4-Weekday-04,20241230,1
BPPD4-BP_D4-Weekday-04,20241231,1
CPPD4-CP_D4-Sunday-04,20240902,1
CPPD4-CP_D4-Sunday-04,20241128,1
CPPD4-CP_D4-Sunday-04,20241225,1
CPPD4-CP_D4-Sunday-04,20250101,1
CPPD4-CP_D4-Weekday-04-SDon,20241128,2
CPPD4-CP_D4-Weekday-04-SDon,20241129,2
CPPD4-CP_D4-Weekday-04-SDon,20241225,2
CPPD4-CP_D4-Weekday-04-SDon,20250101,2
CPPD4-CP_D4-Weekday-04-SDon,20240903,2
CPPD4-CP_D4-Weekday-04-SDon,20240904,2
CPPD4-CP_D4-Weekday-04-SDon,20241003,2
CPPD4-CP_D4-Weekday-04-SDon,20241004,2
CPPD4-CP_D4-Weekday-04-SDon,20241014,2
CPPD4-CP_D4-Weekday-04-SDon,20241101,2
CPPD4-CP_D4-Weekday-04-SDon,20241105,2
CPPD4-CP_D4-Weekday-04-SDon,20241111,2
CPPD4-CP_D4-Weekday-04-SDon,20241223,2
CPPD4-CP_D4-Weekday-04-SDon,20241224,2
CPPD4-CP_D4-Weekday-04-SDon,20241226,2
CPPD4-CP_D4-Weekday-04-SDon,20241227,2
CPPD4-CP_D4-Weekday-04-SDon,20241230,2
